industry,qa_type,question,optionA,optionB,optionC,optionD,optionE,answer,reference,page
b37-real-estate-services,Industry-Specific Challenges: Questions addressing unique sustainability reporting challenges or considerations specific to this industry.,A real estate services company is preparing its sustainability report and wants to disclose additional information about its energy and sustainability services. Which of the following is NOT mentioned as a relevant aspect to include in this description?,The degree of integration with base property management services,Market dynamics of energy and sustainability services,Opportunities associated with providing market-leading services,Risks associated with providing inadequate services,The company's plans for expanding into new geographic markets,E. The company's plans for expanding into new geographic markets,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Real Estate Services,394
b37-real-estate-services,Industry-Specific Challenges: Questions addressing unique sustainability reporting challenges or considerations specific to this industry.,A real estate services company is preparing to disclose the floor area and number of buildings that obtained an energy rating (IF-RS-410a.3). Which of the following statements is TRUE regarding the timing of these energy ratings?,Only energy ratings obtained during the reporting period should be included,Energy ratings from the past five years can be included,Pre-assessments and unofficial forms of pre-certification are valid for inclusion,Energy ratings that will be awarded in the next reporting period can be included,"Energy ratings that were awarded before or during the reporting period should be included, and must be effective and official during the reporting period","E. Energy ratings that were awarded before or during the reporting period should be included, and must be effective and official during the reporting period",IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Real Estate Services,395-396
b38-waste-management,Disclosure Requirements: Questions about specific sustainability disclosure requirements for this industry.,"When reporting on Scope 1 emissions for a waste management company, which of the following greenhouse gases should be included?",Only carbon dioxide (CO₂) and methane (CH₄),"Carbon dioxide (CO₂), methane (CH₄), and nitrous oxide (N₂O) only",The six gases covered under the Kyoto Protocol,Only the gases directly related to landfill operations,All seven GHGs covered under the Kyoto Protocol,E. All seven GHGs covered under the Kyoto Protocol,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Waste Management,399
b38-waste-management,Disclosure Requirements: Questions about specific sustainability disclosure requirements for this industry.,"When calculating the percentage of Scope 1 emissions covered under emissions-limiting regulations, how should a waste management company handle emissions subject to multiple regulations?",Add the percentages for each regulation,Use the highest percentage among the applicable regulations,Calculate an average of the percentages,Account for those emissions only once,Exclude those emissions from the calculation,D. Account for those emissions only once,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Waste Management,400-401
b38-waste-management,Disclosure Requirements: Questions about specific sustainability disclosure requirements for this industry.,"In discussing the long-term and short-term strategy to manage Scope 1 and lifecycle emissions, which of the following is NOT a relevant aspect for a waste management company to address?",Trade-offs between lifecycle emissions and Scope 1 emissions,Impact of waste-to-energy operations on emissions,Prioritization of short-term Scope 1 vs long-term lifecycle emissions management,How emissions management factors into business strategy and capital expenditure,Detailed financial projections for the next fiscal year,E. Detailed financial projections for the next fiscal year,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Waste Management,402-403
b38-waste-management,Disclosure Requirements: Questions about specific sustainability disclosure requirements for this industry.,"When disclosing the percentage of fleet fuel consumed that is renewable, what is the correct approach for a waste management company?",Include all biofuels regardless of their lifecycle GHG emissions,Only include fuels certified by a national renewable energy program,Include fuels that replace fossil fuels and have net lifecycle GHG emissions reduction,Exclude all fuels derived from biomass,Only include electricity used in electric vehicles,C. Include fuels that replace fossil fuels and have net lifecycle GHG emissions reduction,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Waste Management,405-406
b38-waste-management,Metric Calculation: Questions about how to calculate or interpret specific sustainability metrics for this industry.,"When calculating the total landfill gas generated for IF-WM-110a.2, which of the following is NOT included in the definition of landfill gas?",Gas produced from anaerobic decomposition of waste materials,Gas collected through capture systems,Gas that is flared through air injection,Gas produced from aerobic decomposition of waste materials,Gas used for on-site energy production,D. Gas produced from aerobic decomposition of waste materials,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements,401-402
b38-waste-management,Metric Calculation: Questions about how to calculate or interpret specific sustainability metrics for this industry.,"When calculating Scope 1 emissions for IF-WM-110a.1, which of the following greenhouse gases should NOT be included?",Carbon dioxide (CO₂),Methane (CH₄),Nitrous oxide (N₂O),Sulfur hexafluoride (SF₆),Ozone (O₃),E. Ozone (O₃),IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements,399-400
b38-waste-management,Metric Calculation: Questions about how to calculate or interpret specific sustainability metrics for this industry.,"For IF-WM-110b.2, how should a waste management company determine the percentage of alternative fuel vehicles in its fleet?",Total fuel consumption of alternative fuel vehicles / Total fleet fuel consumption,Number of alternative fuel vehicles / Total number of vehicles in fleet,Miles driven by alternative fuel vehicles / Total miles driven by fleet,Cost of alternative fuel vehicles / Total cost of fleet vehicles,CO2 emissions from alternative fuel vehicles / Total CO2 emissions from fleet,B. Number of alternative fuel vehicles / Total number of vehicles in fleet,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements,406
b38-waste-management,Industry-Specific Challenges: Questions addressing unique sustainability reporting challenges or considerations specific to this industry.,"When disclosing the percentage of landfill gas flared (IF-WM-110a.2), a waste management company is unsure about the definition of flared gas. Which of the following is correctly included in the definition of flared landfill gas?",Gas used for on-site energy production,Gas conveyed through pipelines for off-site combustion,Gas combusted through an open flame with uncontrolled ambient air,Gas used in vehicles as an alternative fuel,Gas stored in pressurized containers for future use,C. Gas combusted through an open flame with uncontrolled ambient air,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Waste Management,401-402
b38-waste-management,Industry-Specific Challenges: Questions addressing unique sustainability reporting challenges or considerations specific to this industry.,"A waste management company is struggling to calculate its fleet fuel consumption for sustainability reporting. According to IF-WM-110b.1, which of the following is NOT an acceptable calculation methodology for fuel consumed?","Adding fuel purchases to beginning inventory, less ending inventory",Tracking fuel consumed by vehicle,Tracking fuel expenses,Using manufacturer-provided fuel efficiency ratings,Measuring actual fuel consumed through fuel tank sensors,D. Using manufacturer-provided fuel efficiency ratings,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Waste Management,405-406
b38-waste-management,Industry-Specific Challenges: Questions addressing unique sustainability reporting challenges or considerations specific to this industry.,A waste management company is preparing to disclose its emission reduction targets. Which of the following elements is NOT required to be included in the discussion of these targets according to IF-WM-110a.3?,The scope of the emission reduction target,Whether the target is absolute- or intensity-based,The percentage reduction against the base year,The timelines for the reduction activity,The projected cost savings from achieving the target,E. The projected cost savings from achieving the target,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Waste Management,403-404
b38-waste-management,Industry-Specific Challenges: Questions addressing unique sustainability reporting challenges or considerations specific to this industry.,"A waste management company is evaluating the trade-offs between lifecycle emissions and Scope 1 emissions for its sustainability report. According to IF-WM-110a.3, which of the following aspects should NOT be discussed when addressing this challenge?",The impact of waste-to-energy operations on lifecycle emissions versus Scope 1 emissions,How trade-offs between lifecycle and Scope 1 emissions are evaluated within the context of the entity's business strategy,The extent to which these trade-offs factor into the entity's capital expenditure strategy,Whether short-term management of Scope 1 emissions or long-term management of lifecycle emissions is prioritized,The specific brands of equipment used in waste-to-energy facilities,E. The specific brands of equipment used in waste-to-energy facilities,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements,402-403
b39-water-utilities-and-services,Disclosure Requirements: Questions about specific sustainability disclosure requirements for this industry.,"When calculating the percentage of water utility revenues from rate structures designed to promote conservation and revenue resilience, which of the following rate structures should be excluded?",Revenue decoupled rate structures,Lost revenue adjustment mechanisms (LRAM),Straight fixed-variable rate design without conservation mechanisms,Rate structures with explicit conservation incentives,All rate structures approved by regulatory bodies,C. Straight fixed-variable rate design without conservation mechanisms,IFRS S2 Climate-related Disclosures,414-415
b39-water-utilities-and-services,Disclosure Requirements: Questions about specific sustainability disclosure requirements for this industry.,"When disclosing the volume of recycled water delivered to customers, which of the following definitions should be used for recycled water?",Any water that has been used more than once,Water treated to remove all contaminants,Wastewater treated to meet specific quality criteria for intended uses,Rainwater collected and distributed without treatment,Desalinated seawater,C. Wastewater treated to meet specific quality criteria for intended uses,IFRS S2 Climate-related Disclosures,419
b39-water-utilities-and-services,Disclosure Requirements: Questions about specific sustainability disclosure requirements for this industry.,"When reporting on wastewater treatment capacity located in flood zones, which definition should be used for '100-year flood zones'?",Areas that flood every 100 years,Land areas with a 1% or greater chance of flooding in any given year,Regions that have experienced flooding in the past century,Coastal areas below sea level,Zones designated as high-risk by local authorities,B. Land areas with a 1% or greater chance of flooding in any given year,IFRS S2 Climate-related Disclosures,422
b39-water-utilities-and-services,Disclosure Requirements: Questions about specific sustainability disclosure requirements for this industry.,"When disclosing information about unplanned service disruptions, how should a company define a 'scheduled disruption' if local regulations do not provide a definition?",Any disruption lasting less than 1 hour,Disruptions occurring during off-peak hours,Disruptions announced on the company website,A disruption for which the entity has provided a minimum of 24 hours advance notification,Any disruption that does not affect more than 100 customers,D. A disruption for which the entity has provided a minimum of 24 hours advance notification,IFRS S2 Climate-related Disclosures,424
b39-water-utilities-and-services,Metric Calculation: Questions about how to calculate or interpret specific sustainability metrics for this industry.,"When reporting on customer water savings from efficiency measures, how should a company calculate water savings if state or local regulations do not exist?",Use the net savings approach only,Estimate based on historical data,Use the company's internal calculation method,Follow the Efficiency Valuation Organization's International Performance Measurement and Verification Protocol,Use the average savings reported by other companies in the same region,D. Follow the Efficiency Valuation Organization's International Performance Measurement and Verification Protocol,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements,416
b39-water-utilities-and-services,Metric Calculation: Questions about how to calculate or interpret specific sustainability metrics for this industry.,"When disclosing the total water sourced from regions with High or Extremely High Baseline Water Stress, which tool should be used to classify water stress levels?",The company's internal water stress assessment tool,United Nations Water Scarcity Index,"World Resources Institute's (WRI) Water Risk Atlas tool, Aqueduct",OECD Water Stress Indicator,Global Water Tool by World Business Council for Sustainable Development,"C. World Resources Institute's (WRI) Water Risk Atlas tool, Aqueduct",IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements,418-419
b39-water-utilities-and-services,Metric Calculation: Questions about how to calculate or interpret specific sustainability metrics for this industry.,"When reporting on sanitary sewer overflows (SSOs), how should a company calculate the percentage of SSO volume recovered if regulations do not require reporting?",Use only the measured volume method,Use only the visual estimation method,Average the results from all available calculation methods,Use either the measured volume method or visual estimation method,Assume 50% recovery for all SSOs,D. Use either the measured volume method or visual estimation method,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements,423
b39-water-utilities-and-services,Industry-Specific Challenges: Questions addressing unique sustainability reporting challenges or considerations specific to this industry.,"When preparing a sustainability report for a water utility company, what is considered the most significant challenge in reporting energy management data according to the IFRS S2 Climate-related Disclosures?",Calculating the total energy consumed,Determining the percentage of grid electricity used,Measuring the percentage of renewable energy consumed,Disclosing energy data for wastewater operations,Reporting energy consumption in gigajoules,C: Measuring the percentage of renewable energy consumed,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Water Utilities & Services,409-411
b39-water-utilities-and-services,Industry-Specific Challenges: Questions addressing unique sustainability reporting challenges or considerations specific to this industry.,"In preparing a sustainability report for a water utility, what is the primary challenge when disclosing information about distribution network efficiency?",Calculating the total length of water mains,Determining the water main replacement rate,Measuring the volume of non-revenue real water losses,Describing the use of planned and corrective maintenance,Reporting the number of pipe repairs,D: Describing the use of planned and corrective maintenance,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Water Utilities & Services,412-413
b39-water-utilities-and-services,Industry-Specific Challenges: Questions addressing unique sustainability reporting challenges or considerations specific to this industry.,What is the most challenging aspect of reporting on end-use efficiency for a water utility company's sustainability report?,Calculating total water utility revenues,Determining the percentage of revenues from conservation-promoting rate structures,Measuring customer water savings in cubic meters,Describing regulatory requirements for efficiency measures,Reporting on the number of customers served,B: Determining the percentage of revenues from conservation-promoting rate structures,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Water Utilities & Services,414-417
b39-water-utilities-and-services,Industry-Specific Challenges: Questions addressing unique sustainability reporting challenges or considerations specific to this industry.,"When reporting on network resiliency and impacts of climate change, what is the most complex aspect for a water utility to address in its sustainability report?",Calculating the number of unplanned service disruptions,Measuring wastewater treatment capacity in flood zones,Reporting the volume of sanitary sewer overflows,Counting the number of customers affected by disruptions,Describing efforts to manage risks related to climate change impacts on infrastructure,E: Describing efforts to manage risks related to climate change impacts on infrastructure,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Water Utilities & Services,422-425
b40-biofuels,Disclosure Requirements: Questions about specific sustainability disclosure requirements for this industry.,"When disclosing water management risks for a biofuel company, which of the following is NOT typically considered a risk associated with water withdrawals and consumption?",Environmental constraints such as operating in water-stressed regions,Regulatory constraints such as restrictions on water withdrawals,Financial constraints such as volatility in water costs,Stakeholder perceptions related to water withdrawals,Increased demand for the company's biofuel products,E. Increased demand for the company's biofuel products,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Biofuels,428-429
b40-biofuels,Disclosure Requirements: Questions about specific sustainability disclosure requirements for this industry.,"In disclosing lifecycle greenhouse gas (GHG) emissions for biofuels, which of the following is NOT a biofuel type that a company is required to report on according to the IFRS standards?",Renewable fuel,Advanced biofuel,Biodiesel,Cellulosic biofuel,Synthetic biofuel,E. Synthetic biofuel,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Biofuels,431-432
b40-biofuels,Disclosure Requirements: Questions about specific sustainability disclosure requirements for this industry.,"When discussing strategies to manage risks associated with environmental impacts of feedstock production, which of the following is NOT mentioned as a potential risk in the IFRS standards?",Climate change impacts on feedstock supply,Long-term risks to feedstock supply due to biodiversity loss,Regulatory constraints on renewable fuel mandates,Potential limits on what qualifies as renewable biomass,Fluctuations in global oil prices,E. Fluctuations in global oil prices,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Biofuels,433-434
b40-biofuels,Disclosure Requirements: Questions about specific sustainability disclosure requirements for this industry.,"When disclosing the amount of subsidies received through government programs, which of the following is NOT mentioned as a type of subsidy to be included in the IFRS standards?",Blending and production tax credits,Capital grants,Direct payments,Loans and loan guarantees,Carbon offset credits,E. Carbon offset credits,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Biofuels,435
b40-biofuels,Metric Calculation: Questions about how to calculate or interpret specific sustainability metrics for this industry.,"When calculating the percentage of biofuel production third-party certified to an environmental sustainability standard, what is the correct unit of measure for the total amount of biofuel produced according to IFRS standards?",Metric tons,Liters,Barrels,Gallons,Cubic meters,D. Gallons,Sourcing & Environmental Impacts of Feedstock Production,434
b40-biofuels,Metric Calculation: Questions about how to calculate or interpret specific sustainability metrics for this industry.,"According to IFRS standards, when disclosing water management data, in what unit should the total water withdrawn and consumed be reported?",Liters,Gallons,Cubic feet,Thousand cubic meters,Million liters,D. Thousand cubic meters,Water Management in Manufacturing,427-428
b40-biofuels,Metric Calculation: Questions about how to calculate or interpret specific sustainability metrics for this industry.,"When reporting lifecycle greenhouse gas (GHG) emissions for biofuels, what is the correct unit of measure according to IFRS standards?",Grams of CO₂-e per liter,Kilograms of CO₂-e per gallon,Grams of CO₂-e per megajoule,Tons of CO₂-e per barrel,Kilograms of CO₂-e per kilometer,C. Grams of CO₂-e per megajoule,Lifecycle Emissions Balance,431-432
b40-biofuels,Metric Calculation: Questions about how to calculate or interpret specific sustainability metrics for this industry.,"When disclosing water consumption in regions with water stress, what is the correct threshold for 'Extremely High Baseline Water Stress' according to the World Resources Institute's Water Risk Atlas tool?",>50 percent,>60 percent,>70 percent,>80 percent,>90 percent,D. >80 percent,Water Management in Manufacturing,428
b40-biofuels,Industry-Specific Challenges: Questions addressing unique sustainability reporting challenges or considerations specific to this industry.,"When discussing corporate positions related to government regulations affecting the biofuels industry, which of the following is NOT considered a relevant risk to be addressed according to IFRS standards?",Risk of increased compliance costs,Risk of policy reversal,Risk of loss of financial incentives,Risk to reputation due to entity's stance on regulations,Risk of increased market share due to stricter regulations,E. Risk of increased market share due to stricter regulations,Management of the Legal & Regulatory Environment,435-436
b40-biofuels,Industry-Specific Challenges: Questions addressing unique sustainability reporting challenges or considerations specific to this industry.,"When preparing a sustainability report for a biofuels company, which of the following represents a unique challenge in disclosing the environmental impacts of feedstock production?",Calculating the company's carbon footprint,Reporting on employee diversity,Assessing indirect land-use changes caused by feedstock cultivation,Disclosing executive compensation,Reporting on community engagement initiatives,C. Assessing indirect land-use changes caused by feedstock cultivation,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Biofuels,433-434
b40-biofuels,Industry-Specific Challenges: Questions addressing unique sustainability reporting challenges or considerations specific to this industry.,"In the context of biofuels sustainability reporting, what unique challenge does the concept of 'lifecycle greenhouse gas (GHG) emissions' present?",It only considers emissions from the manufacturing process,It excludes emissions from feedstock transportation,It focuses solely on vehicle exhaust emissions,"It requires accounting for emissions across the entire supply chain, including indirect emissions from land-use changes",It only measures emissions from the use phase of the biofuel,"D. It requires accounting for emissions across the entire supply chain, including indirect emissions from land-use changes",IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Biofuels,431-432
b40-biofuels,Industry-Specific Challenges: Questions addressing unique sustainability reporting challenges or considerations specific to this industry.,"When reporting on the management of legal and regulatory environments in the biofuels industry, what unique challenge must companies address regarding government subsidies?",Hiding subsidy information from competitors,Maximizing subsidy claims regardless of eligibility,Disclosing the amount and types of subsidies received while addressing the risk of policy reversals or elimination of incentives,Lobbying for increased subsidies without disclosure,Avoiding all mention of subsidies in sustainability reports,C. Disclosing the amount and types of subsidies received while addressing the risk of policy reversals or elimination of incentives,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Biofuels,435-436
b41-forestry-management,Disclosure Requirements: Questions about specific sustainability disclosure requirements for this industry.,"According to the IFRS S2 Climate-related Disclosures for Forestry Management, what should a company disclose about its forestland certified to third-party forest management standards?",Only the total area of certified forestland,"The percentage certified to each standard, but not the total area",The total area certified and the percentage certified to each standard,Only the names of the certification standards used,The cost of obtaining each certification,C. The total area certified and the percentage certified to each standard,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Forestry Management,439-440
b41-forestry-management,Disclosure Requirements: Questions about specific sustainability disclosure requirements for this industry.,What information should a company provide if any of its forest management certifications were suspended or terminated during the reporting period?,Only the name of the suspended or terminated certification,"The certification name and the reason for suspension, but not the acreage affected","The certification name, affected acreage, and reason for suspension or termination",Only the total acreage affected by suspensions or terminations,No disclosure is required for suspended or terminated certifications,"C. The certification name, affected acreage, and reason for suspension or termination",IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Forestry Management,440-441
b41-forestry-management,Disclosure Requirements: Questions about specific sustainability disclosure requirements for this industry.,"When disclosing information about forestland in endangered species habitat, what is the company required to report according to IFRS S2?",Only the total area of forestland in endangered species habitat,The area of forestland and the specific endangered species present,The area of forestland and potential future changes to endangered habitats,Only the names of endangered species in the company's forestlands,The area of forestland in endangered species habitat and any overlap with protected conservation areas,E. The area of forestland in endangered species habitat and any overlap with protected conservation areas,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Forestry Management,441-442
b41-forestry-management,Disclosure Requirements: Questions about specific sustainability disclosure requirements for this industry.,"In discussing climate change adaptation strategies, what aspect of risk management procedures should a company include in its disclosure?",Only the frequency of monitoring climate risks,"The costs associated with adaptation actions, but not the strategies themselves",Adaptation strategies without mentioning associated costs,"How far into the future risks are considered, monitoring frequency, strategies, and associated costs",Only the names of climate models used for risk assessment,"D. How far into the future risks are considered, monitoring frequency, strategies, and associated costs",IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Forestry Management,445-446
b41-forestry-management,Metric Calculation: Questions about how to calculate or interpret specific sustainability metrics for this industry.,"When calculating the percentage of forestland certified to each forest management standard, how should a company handle areas certified to multiple standards?","Count the area multiple times, once for each standard it's certified to",Only count the area under the most stringent standard,Divide the area equally among all standards it's certified to,"Count the area only once in the total, but report the percentage for each standard separately",Exclude areas with multiple certifications from the calculation,"D. Count the area only once in the total, but report the percentage for each standard separately",IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Forestry Management,439-440
b41-forestry-management,Metric Calculation: Questions about how to calculate or interpret specific sustainability metrics for this industry.,How should a company calculate the area of forestland with protected conservation status?,Include only company-owned land designated as protected by government regulation,"Include all land within national parks, regardless of ownership","Include areas of conservation status that are actively managed by or for the entity, including government-owned land managed by the entity",Include only land under conservation easements,"Include all land listed in the World Database of Protected Areas, regardless of management status","C. Include areas of conservation status that are actively managed by or for the entity, including government-owned land managed by the entity",IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Forestry Management,441
b41-forestry-management,Metric Calculation: Questions about how to calculate or interpret specific sustainability metrics for this industry.,"In disclosing ecosystem services opportunities, how should a company report on services for which it does not receive direct payments?",Exclude them from the report entirely,Estimate their potential monetary value,"Describe the approach to managing these services, including types and management actions",Only report on services that generate revenue,Combine them with paid services in a single category,"C. Describe the approach to managing these services, including types and management actions",IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Forestry Management,442-443
b41-forestry-management,Metric Calculation: Questions about how to calculate or interpret specific sustainability metrics for this industry.,"When discussing climate change risks and opportunities, what timeframe information should a company include in its disclosure?",Only short-term risks within the next fiscal year,Only long-term risks beyond 10 years,A fixed 5-year projection for all risks and opportunities,The timeframe in which each risk or opportunity is expected to manifest,Only immediate risks that are currently impacting operations,D. The timeframe in which each risk or opportunity is expected to manifest,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Forestry Management,445
b41-forestry-management,Industry-Specific Challenges: Questions addressing unique sustainability reporting challenges or considerations specific to this industry.,"In reporting on endangered species habitats, what additional information should a company consider disclosing about potential future changes?",Only current habitat information is required,Potential habitat expansion based on climate models,Species that might become endangered in the next 100 years,"Likelihood of habitat changes, nearby endangered species, and potential regulatory changes",Economic impact of potential habitat changes,"D. Likelihood of habitat changes, nearby endangered species, and potential regulatory changes",IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Forestry Management,441-442
b41-forestry-management,Industry-Specific Challenges: Questions addressing unique sustainability reporting challenges or considerations specific to this industry.,A forestry company is preparing its sustainability report and wants to disclose information about its forestland certified to multiple third-party forest management standards. How should the company report this information to avoid double-counting?,"Sum up all certified areas, including overlaps",Only report the largest certification area,Report each certification separately without mentioning overlaps,Exclude areas with multiple certifications,Report total certified area once and disclose percentage certified to each standard,E: Report total certified area once and disclose percentage certified to each standard,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Forestry Management,439-440
b41-forestry-management,Industry-Specific Challenges: Questions addressing unique sustainability reporting challenges or considerations specific to this industry.,"When discussing the strategy to manage climate change opportunities and risks in a sustainability report, what type of information should a forestry company include about the scenarios it uses?",Only worst-case scenarios,Scenarios provided by competitors,Historical climate data from the past decade,"Methods or models used to develop scenarios, including global models or scientific research",Scenarios that only focus on short-term impacts,"D: Methods or models used to develop scenarios, including global models or scientific research",IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Forestry Management,445
b41-forestry-management,Industry-Specific Challenges: Questions addressing unique sustainability reporting challenges or considerations specific to this industry.,A forestry company is preparing its sustainability report and needs to disclose information about forestlands in endangered species habitats. Which of the following should NOT be included in this disclosure?,Total area of forestland in endangered species habitats,Types of endangered or threatened species in the forestlands,Overlap with areas of protected conservation status,Likelihood of changes to endangered species habitats,Detailed harvesting plans for endangered species habitats,E: Detailed harvesting plans for endangered species habitats,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Forestry Management,441-442
b42-fuel-cells-and-industrial-batteries,Disclosure Requirements: Questions about specific sustainability disclosure requirements for this industry.,"According to IFRS S2, what is the correct unit of measure for reporting the average storage capacity of batteries in the Fuel Cells & Industrial Batteries industry?",Megawatt hours (MWh),Ampere hours (Ah),Specific energy (Wh/kg),Kilowatt hours (kWh),Joules (J),C. Specific energy (Wh/kg),IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Fuel Cells & Industrial Batteries,450
b42-fuel-cells-and-industrial-batteries,Disclosure Requirements: Questions about specific sustainability disclosure requirements for this industry.,"When disclosing the percentage of renewable energy consumed, which of the following sources is NOT included in the scope of renewable energy according to IFRS S2?",Geothermal energy,Wind energy,Solar energy,Hydro energy,The renewable portion of the electricity grid mix outside the entity's control,E. The renewable portion of the electricity grid mix outside the entity's control,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Fuel Cells & Industrial Batteries,449
b42-fuel-cells-and-industrial-batteries,Disclosure Requirements: Questions about specific sustainability disclosure requirements for this industry.,"When reporting on fuel cell efficiency, which heating value should be used in the calculations according to IFRS S2?",Higher Heating Value (HHV),Lower Heating Value (LHV),Average Heating Value (AHV),Gross Calorific Value (GCV),Net Calorific Value (NCV),B. Lower Heating Value (LHV),IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Fuel Cells & Industrial Batteries,450-451
b42-fuel-cells-and-industrial-batteries,Disclosure Requirements: Questions about specific sustainability disclosure requirements for this industry.,"According to IFRS S2, how is the operating lifetime of batteries calculated in the Fuel Cells & Industrial Batteries industry?",Total hours of continuous operation,Years of service before replacement,Number of charge-discharge cycles until 10% capacity degradation,Number of charge-discharge cycles until 20% capacity degradation,Kilowatt-hours delivered over the product lifetime,D. Number of charge-discharge cycles until 20% capacity degradation,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Fuel Cells & Industrial Batteries,452-453
b42-fuel-cells-and-industrial-batteries,Metric Calculation: Questions about how to calculate or interpret specific sustainability metrics for this industry.,How should a company calculate the percentage of energy consumed that was supplied from grid electricity?,Total energy consumed divided by purchased grid electricity,Purchased grid electricity divided by total energy consumed,Renewable energy consumed divided by purchased grid electricity,Purchased grid electricity minus renewable energy consumed,Total energy consumed minus renewable energy consumed,B. Purchased grid electricity divided by total energy consumed,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Fuel Cells & Industrial Batteries,448
b42-fuel-cells-and-industrial-batteries,Metric Calculation: Questions about how to calculate or interpret specific sustainability metrics for this industry.,"When reporting on fuel cell efficiency, how is electrical efficiency calculated according to IFRS S2?",Total fuel energy input divided by net electricity produced,Net electricity produced divided by total fuel energy input,Net useful power output divided by total fuel energy input,Total fuel energy input minus energy losses,Net electricity produced plus thermal energy output,B. Net electricity produced divided by total fuel energy input,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Fuel Cells & Industrial Batteries,450-451
b42-fuel-cells-and-industrial-batteries,Metric Calculation: Questions about how to calculate or interpret specific sustainability metrics for this industry.,How is the coulombic efficiency of batteries calculated according to IFRS S2?,Energy used during charging divided by energy removed during discharge,Energy removed during discharge plus energy used during charging,Energy removed during discharge divided by battery capacity,Energy removed during discharge divided by energy used during charging,Battery capacity divided by energy used during charging,D. Energy removed during discharge divided by energy used during charging,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Fuel Cells & Industrial Batteries,451
b42-fuel-cells-and-industrial-batteries,Industry-Specific Challenges: Questions addressing unique sustainability reporting challenges or considerations specific to this industry.,What unique consideration should a fuel cell manufacturer address when reporting renewable energy consumption in their sustainability report?,Only include energy from solar and wind sources,Exclude all biomass sources from renewable energy calculations,Include biomass sources only if certified by third-party standards,Report all biomass as non-renewable energy,Ignore renewable energy consumption entirely,C: Include biomass sources only if certified by third-party standards,IFRS S2 Climate-related Disclosures Appendix B,449
b42-fuel-cells-and-industrial-batteries,Industry-Specific Challenges: Questions addressing unique sustainability reporting challenges or considerations specific to this industry.,"When reporting on battery storage capacity, what specific challenge does a company in this industry face according to IFRS S2?",Reporting capacity in kilowatt-hours only,Calculating capacity based on theoretical maximum,Disclosing capacity for lead-acid batteries only,Measuring capacity as specific energy (Wh/kg) weighted by sales volume,Reporting capacity without considering technology type,D: Measuring capacity as specific energy (Wh/kg) weighted by sales volume,IFRS S2 Climate-related Disclosures Appendix B,450
