industries,qa_type,question,optionA,optionB,optionC,optionD,optionE,answer,explanation,pairing_explanation,references,pages
"['b26-restaurants', 'b62-auto-parts']",Cross-Industry Comparison,"In terms of sustainability reporting, how do the activity metrics differ between the Restaurants and Auto Parts industries?","Restaurants report on number of locations, while Auto Parts focus on production volume","Auto Parts report on employee numbers, while Restaurants don't","Restaurants disclose food waste, while Auto Parts report on raw material usage","Auto Parts report on manufacturing plant area, while Restaurants have no spatial metrics",There is no difference in activity metrics between the two industries,"A. Restaurants report on number of locations, while Auto Parts focus on production volume","The activity metrics for the Restaurants industry include the number of company-owned and franchise restaurants (FB-RN-000.A), focusing on location count. In contrast, the Auto Parts industry reports on the number and weight of parts produced (TR-AP-000.A and TR-AP-000.B), emphasizing production volume. This difference reflects the distinct operational characteristics and sustainability concerns of each industry.","Both industries emphasize sustainability in supply chains, waste management, and resource use, from food sourcing to automotive component production.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Restaurants', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Auto Parts']","['271', '604']"
"['b12-oil-and-gas-midstream', 'b24-non-alcoholic-beverages']",Reporting Requirements,"According to IFRS standards, which of the following is a required disclosure for both Oil & Gas - Midstream and Non-Alcoholic Beverages industries regarding their Scope 1 emissions?",Total fleet road miles traveled,Percentage of emissions covered under emissions-limiting regulations,Emissions from vented sources,Percentage of renewable fuel used in fleet vehicles,Emissions from fugitive sources,B: Percentage of emissions covered under emissions-limiting regulations,"Both industries are required to disclose the percentage of their Scope 1 emissions that are covered under emissions-limiting regulations. For Oil & Gas - Midstream, this is explicitly stated in EM-MD-110a.1. For Non-Alcoholic Beverages, while not directly stated, it's implied in the general Scope 1 emissions reporting requirements (FB-NB-110a.1) which follow similar IFRS guidelines.","Both involve extensive logistics frameworks and share sustainability similarities in emissions, resource efficiency, and supply chain management.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Oil & Gas – Midstream', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Non-Alcoholic Beverages']","['110', '245']"
"['b12-oil-and-gas-midstream', 'b24-non-alcoholic-beverages']",Reporting Requirements,"When disclosing strategies to manage Scope 1 emissions, which of the following is required for Oil & Gas - Midstream companies but not explicitly mentioned for Non-Alcoholic Beverages companies?",Emission reduction targets,Timeline for reduction activities,Mechanism for achieving targets,Analysis of performance against targets,"Breakdown of emissions by specific categories (e.g., flared hydrocarbons, vented emissions)","E: Breakdown of emissions by specific categories (e.g., flared hydrocarbons, vented emissions)","The Oil & Gas - Midstream industry requirements (EM-MD-110a.2) specifically mention discussing the scope of strategies for different categories of emissions, including flared hydrocarbons, other combusted emissions, process emissions, vented emissions, and fugitive emissions. This level of detail in categorization is not explicitly required for the Non-Alcoholic Beverages industry in their emissions management strategy disclosure.","Both involve extensive logistics frameworks and share sustainability similarities in emissions, resource efficiency, and supply chain management.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Oil & Gas – Midstream', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Non-Alcoholic Beverages']","['111-113', '247-248']"
"['b12-oil-and-gas-midstream', 'b24-non-alcoholic-beverages']",Metric Selection and Calculation,"When calculating the percentage of renewable energy consumed, which of the following is a key difference between the Oil & Gas - Midstream and Non-Alcoholic Beverages industries?",The inclusion of fleet vehicle energy consumption,The definition of renewable energy sources,The use of Renewable Energy Certificates (RECs),The calculation of total energy consumption,The reporting period for energy consumption,A: The inclusion of fleet vehicle energy consumption,"For the Oil & Gas - Midstream industry, the metric EM-MD-110a.1 specifically focuses on fleet fuel consumption and the percentage of renewable fuel. In contrast, for the Non-Alcoholic Beverages industry, the energy management metric FB-NB-130a.1 explicitly excludes fleet vehicles from the calculation of operational energy consumed and the percentage of renewable energy. This represents a key difference in how these industries calculate and report their renewable energy usage.","Both involve extensive logistics frameworks and share sustainability similarities in emissions, resource efficiency, and supply chain management.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Oil & Gas – Midstream', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Non-Alcoholic Beverages']","['245-246', '247-248']"
"['b12-oil-and-gas-midstream', 'b24-non-alcoholic-beverages']",Metric Selection and Calculation,"In the context of water management, which metric is required for Non-Alcoholic Beverages companies but not explicitly mentioned for Oil & Gas - Midstream companies?",Total water withdrawn,Total water consumed,Percentage of water withdrawn in regions with High or Extremely High Baseline Water Stress,Percentage of water consumed in regions with High or Extremely High Baseline Water Stress,Description of water management risks,D: Percentage of water consumed in regions with High or Extremely High Baseline Water Stress,"The Non-Alcoholic Beverages industry metric FB-NB-140a.1 specifically requires reporting on the percentage of water consumed in regions with High or Extremely High Baseline Water Stress. This metric is not explicitly mentioned in the Oil & Gas - Midstream industry requirements. While both industries need to address water management, the Non-Alcoholic Beverages industry has more detailed requirements regarding water consumption in water-stressed regions, likely due to the critical nature of water as an input in beverage production.","Both involve extensive logistics frameworks and share sustainability similarities in emissions, resource efficiency, and supply chain management.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Oil & Gas – Midstream', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Non-Alcoholic Beverages']",['249-252']
"['b12-oil-and-gas-midstream', 'b24-non-alcoholic-beverages']",Cross-Industry Comparison,How do the IFRS sustainability reporting requirements for supply chain management differ between the Oil & Gas - Midstream and Non-Alcoholic Beverages industries?,Only Non-Alcoholic Beverages companies are required to report on supplier audits,"Oil & Gas - Midstream companies focus on environmental impacts, while Non-Alcoholic Beverages companies focus on social impacts","Non-Alcoholic Beverages companies must report on both environmental and social impacts of their supply chain, while Oil & Gas - Midstream companies have no specific supply chain reporting requirements",Both industries have identical supply chain reporting requirements,"Oil & Gas - Midstream companies must report on pipeline safety, while Non-Alcoholic Beverages companies report on ingredient sourcing risks","C: Non-Alcoholic Beverages companies must report on both environmental and social impacts of their supply chain, while Oil & Gas - Midstream companies have no specific supply chain reporting requirements","The Non-Alcoholic Beverages industry has specific metrics (FB-NB-430a.1 and FB-NB-440a.2) that require reporting on suppliers' social and environmental responsibility audits and sourcing risks due to environmental and social considerations. In contrast, the Oil & Gas - Midstream industry standards do not explicitly mention supply chain environmental and social impact reporting requirements. This difference reflects the varying priorities and risk factors in the supply chains of these two industries.","Both involve extensive logistics frameworks and share sustainability similarities in emissions, resource efficiency, and supply chain management.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Oil & Gas – Midstream', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Non-Alcoholic Beverages']",['253-256']
"['b12-oil-and-gas-midstream', 'b24-non-alcoholic-beverages']",Cross-Industry Comparison,Which of the following sustainability topics is more prominently addressed in the IFRS reporting requirements for the Non-Alcoholic Beverages industry compared to the Oil & Gas - Midstream industry?,Greenhouse gas emissions,Energy management,Water management,Biodiversity impacts,Waste management,C: Water management,"Water management is more prominently addressed in the IFRS reporting requirements for the Non-Alcoholic Beverages industry compared to the Oil & Gas - Midstream industry. The Non-Alcoholic Beverages industry has detailed metrics and discussion requirements related to water withdrawal, consumption, management risks, and strategies (FB-NB-140a.1 and FB-NB-140a.2). Additionally, there's a focus on sourcing ingredients from water-stressed regions (FB-NB-440a.1). In contrast, the Oil & Gas - Midstream industry requirements do not have specific metrics dedicated to water management, reflecting the different priorities and resource dependencies of these industries.","Both involve extensive logistics frameworks and share sustainability similarities in emissions, resource efficiency, and supply chain management.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Oil & Gas – Midstream', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Non-Alcoholic Beverages']","['249-252', '255-256']"
"['b34-gas-utilities-and-distributors', 'b4-e-commerce']",Reporting Requirements,"When reporting on energy consumption, which of the following is a key difference between the E-Commerce and Gas Utilities & Distributors industries according to IFRS standards?","E-Commerce must report on data center energy use, while Gas Utilities don't have this requirement","Gas Utilities must report on customer gas savings, while E-Commerce doesn't have this requirement","E-Commerce must report on renewable energy percentage, while Gas Utilities don't have this requirement","Gas Utilities must report on pipeline integrity, while E-Commerce doesn't have this requirement",Both industries have identical energy reporting requirements,"C: E-Commerce must report on renewable energy percentage, while Gas Utilities don't have this requirement","The E-Commerce industry is required to disclose the percentage of energy consumed that is renewable energy (CG-EC-130a.1), while the Gas Utilities & Distributors industry does not have a similar requirement. Instead, Gas Utilities focus on customer gas savings and pipeline integrity.","Gas utilities' emissions and energy efficiency intersect with e-commerce’s logistics footprint, offering insights into sustainable operations across different sectors.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: E-Commerce', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Gas Utilities & Distributors']","['27', '337-338']"
"['b34-gas-utilities-and-distributors', 'b4-e-commerce']",Reporting Requirements,Which of the following metrics is required for both E-Commerce and Gas Utilities & Distributors industries in their IFRS sustainability reporting?,Total energy consumed,Number of customers served,Greenhouse gas emissions from product shipments,Water consumption in data centers,Length of gas distribution pipelines,B: Number of customers served,"Both industries are required to report on the number of customers served as an activity metric. For E-Commerce, it's reported as 'Entity-defined measure of user activity' (CG-EC-000.A), while for Gas Utilities it's reported as 'Number of: (1) residential, (2) commercial, and (3) industrial customers served' (IF-GU-000.A).","Gas utilities' emissions and energy efficiency intersect with e-commerce’s logistics footprint, offering insights into sustainable operations across different sectors.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: E-Commerce', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Gas Utilities & Distributors']","['25', '335']"
"['b34-gas-utilities-and-distributors', 'b4-e-commerce']",Metric Selection and Calculation,"When calculating the environmental impact of operations, what is a key difference in metric selection between E-Commerce and Gas Utilities & Distributors?","E-Commerce focuses on water usage, while Gas Utilities focus on gas leakage","E-Commerce measures product shipment emissions, while Gas Utilities measure pipeline incidents","E-Commerce calculates data center efficiency, while Gas Utilities calculate customer energy savings",Both industries use identical metrics for environmental impact,"E-Commerce measures renewable energy use, while Gas Utilities measure carbon offsets","B: E-Commerce measures product shipment emissions, while Gas Utilities measure pipeline incidents","E-Commerce companies are required to disclose the 'Total greenhouse gas (GHG) footprint of product shipments' (CG-EC-410a.1), while Gas Utilities & Distributors must report on the 'Number of (1) reportable pipeline incidents, (2) corrective actions received, and (3) violations of pipeline safety statutes' (IF-GU-540a.1). These metrics reflect the different nature of environmental impacts in each industry.","Gas utilities' emissions and energy efficiency intersect with e-commerce’s logistics footprint, offering insights into sustainable operations across different sectors.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: E-Commerce', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Gas Utilities & Distributors']","['31-32', '340-341']"
"['b34-gas-utilities-and-distributors', 'b4-e-commerce']",Metric Selection and Calculation,"In calculating efficiency metrics, how do the approaches differ between E-Commerce and Gas Utilities & Distributors industries?","E-Commerce calculates energy efficiency of data centers, while Gas Utilities calculate customer gas savings","E-Commerce measures product delivery efficiency, while Gas Utilities measure pipeline transmission efficiency",Both industries use the same efficiency metrics focused on energy consumption,"E-Commerce calculates warehouse efficiency, while Gas Utilities calculate power plant efficiency",Neither industry is required to report efficiency metrics,"A: E-Commerce calculates energy efficiency of data centers, while Gas Utilities calculate customer gas savings","E-Commerce companies may disclose the power usage effectiveness (PUE) for data centers (CG-EC-130a.1), which is a measure of energy efficiency. Gas Utilities, on the other hand, are required to report on 'Customer gas savings from efficiency measures by market' (IF-GU-420a.2). These different approaches reflect the distinct focus areas for efficiency in each industry.","Gas utilities' emissions and energy efficiency intersect with e-commerce’s logistics footprint, offering insights into sustainable operations across different sectors.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: E-Commerce', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Gas Utilities & Distributors']","['28-29', '337-338']"
"['b34-gas-utilities-and-distributors', 'b4-e-commerce']",Cross-Industry Comparison,How do the IFRS sustainability reporting requirements for infrastructure management differ between E-Commerce and Gas Utilities & Distributors industries?,"E-Commerce focuses on data center infrastructure, while Gas Utilities focus on pipeline infrastructure","E-Commerce reports on warehouse infrastructure, while Gas Utilities report on storage facility infrastructure",Both industries have identical infrastructure management reporting requirements,"E-Commerce reports on delivery vehicle infrastructure, while Gas Utilities report on meter infrastructure",Neither industry has specific infrastructure management reporting requirements,"A: E-Commerce focuses on data center infrastructure, while Gas Utilities focus on pipeline infrastructure","E-Commerce companies are required to discuss 'the integration of environmental considerations into strategic planning for data center needs' (CG-EC-130a.3), while Gas Utilities must provide a 'Description of efforts to manage the integrity of gas delivery infrastructure, including risks related to safety and emissions' (IF-GU-540a.4). This reflects the critical infrastructure specific to each industry.","Gas utilities' emissions and energy efficiency intersect with e-commerce’s logistics footprint, offering insights into sustainable operations across different sectors.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: E-Commerce', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Gas Utilities & Distributors']","['29-30', '343-345']"
"['b34-gas-utilities-and-distributors', 'b4-e-commerce']",Cross-Industry Comparison,"In terms of sustainability reporting on distribution networks, what is a key difference between E-Commerce and Gas Utilities & Distributors industries?","E-Commerce reports on digital distribution networks, while Gas Utilities report on physical pipeline networks","E-Commerce focuses on last-mile delivery efficiency, while Gas Utilities focus on pipeline integrity",Both industries report on the same aspects of their distribution networks,"E-Commerce reports on warehouse distribution, while Gas Utilities report on storage facility distribution",Neither industry has specific reporting requirements for distribution networks,"B: E-Commerce focuses on last-mile delivery efficiency, while Gas Utilities focus on pipeline integrity","E-Commerce companies are required to discuss 'strategies to reduce the environmental impact of product delivery' (CG-EC-410a.2), which includes last-mile delivery efficiency. Gas Utilities, on the other hand, must report on 'Percentage of gas (1) transmission and (2) distribution pipelines inspected' (IF-GU-540a.3) and other metrics related to pipeline integrity. This highlights the different nature of distribution networks in these industries.","Gas utilities' emissions and energy efficiency intersect with e-commerce’s logistics footprint, offering insights into sustainable operations across different sectors.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: E-Commerce', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Gas Utilities & Distributors']","['32', '342-343']"
"['b7-coal-operations', 'b14-oil-and-gas-services']",Reporting Requirements,"According to IFRS S2, which of the following is a required disclosure for coal operations companies but NOT for oil and gas services companies?",Total fuel consumed and percentage renewable,Discussion of long-term and short-term strategy to manage Scope 1 emissions,Number of incidents of non-compliance with water quality permits,Percentage of engines that meet emissions standards,Sensitivity of coal reserve levels to future carbon price scenarios,E. Sensitivity of coal reserve levels to future carbon price scenarios,"Coal operations companies are required to disclose the sensitivity of their coal reserve levels to future price projection scenarios that account for a price on carbon emissions (EM-CO-420a.1). This is not a requirement for oil and gas services companies, as they typically do not own reserves. Oil and gas services companies have different disclosure requirements focused on their operations and services.","Both industries involve extensive environmental impact due to resource extraction and energy production activities. Comparing their sustainability efforts could shed light on how they manage emissions, land use, and community impacts.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Coal Operations', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Oil & Gas – Services']","['49', '124-132']"
"['b7-coal-operations', 'b14-oil-and-gas-services']",Reporting Requirements,"When disclosing greenhouse gas (GHG) emissions, which of the following is required for coal operations companies but not explicitly mentioned for oil and gas services companies?",Scope 1 emissions,Percentage of emissions covered under emissions-limiting regulations,Discussion of emissions reduction targets,Emissions from transportation activities,Scope 2 emissions,B. Percentage of emissions covered under emissions-limiting regulations,Coal operations companies are required to disclose the percentage of their gross global Scope 1 GHG emissions that are covered under emissions-limiting regulations (EM-CO-110a.1). This specific requirement is not explicitly mentioned for oil and gas services companies in the provided IFRS S2 disclosure requirements.,"Both industries involve extensive environmental impact due to resource extraction and energy production activities. Comparing their sustainability efforts could shed light on how they manage emissions, land use, and community impacts.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Coal Operations', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Oil & Gas – Services']","['43-46', '126-129']"
"['b7-coal-operations', 'b14-oil-and-gas-services']",Metric Selection and Calculation,"When calculating the percentage of recycled water for sustainability reporting, how do coal operations and oil and gas services companies differ in their approach?","Coal operations include produced water, while oil and gas services do not","Oil and gas services count reused water multiple times, while coal operations do not",Coal operations use a different definition of fresh water than oil and gas services,"Oil and gas services include flowback water, while coal operations do not",There is no significant difference in the calculation method,"B. Oil and gas services count reused water multiple times, while coal operations do not","For oil and gas services companies, IFRS S2 explicitly states that 'Any volume of water reused multiple times shall be counted as recycled each time it is recycled and reused' (EM-SV-140a.1). This specific instruction is not provided for coal operations companies, indicating a difference in the calculation approach for recycled water percentage.","Both industries involve extensive environmental impact due to resource extraction and energy production activities. Comparing their sustainability efforts could shed light on how they manage emissions, land use, and community impacts.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Coal Operations', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Oil & Gas – Services']","['47-48', '130-131']"
"['b7-coal-operations', 'b14-oil-and-gas-services']",Metric Selection and Calculation,"When reporting on emissions reduction for coal operations and oil and gas services, which of the following metrics is specifically required for oil and gas services but not for coal operations?",Gross global Scope 1 emissions,Percentage of renewable fuel consumed,Emissions reduction targets,Percentage of engines that comply with emissions standards,Discussion of long-term emissions reduction strategy,D. Percentage of engines that comply with emissions standards,Oil and gas services companies are specifically required to disclose the 'Percentage of engines in service that comply with highest level of emissions standards for non-road diesel engine emissions' (EM-SV-110a.3). This metric is not listed as a requirement for coal operations companies in the provided IFRS S2 disclosure requirements.,"Both industries involve extensive environmental impact due to resource extraction and energy production activities. Comparing their sustainability efforts could shed light on how they manage emissions, land use, and community impacts.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Coal Operations', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Oil & Gas – Services']","['43-46', '128-129']"
"['b7-coal-operations', 'b14-oil-and-gas-services']",Cross-Industry Comparison,How do the IFRS S2 requirements for discussing water management strategies differ between coal operations and oil and gas services companies?,"Coal operations focus on water quality, while oil and gas services focus on water quantity","Oil and gas services must discuss flowback water, while coal operations do not","Coal operations must address non-compliance incidents, while oil and gas services do not",Oil and gas services must discuss customer demand for water-efficient technologies,There are no significant differences in the water management strategy discussion requirements,D. Oil and gas services must discuss customer demand for water-efficient technologies,"The IFRS S2 requirements for oil and gas services companies specifically state that they must discuss 'demand for specific products, services, and technologies that offer well and field operators reduced water consumption, water recycling, and/or other water impact reductions, and its ability to meet this demand' (EM-SV-140a.2). This specific requirement is not present for coal operations companies, reflecting the service-oriented nature of the oil and gas services industry.","Both industries involve extensive environmental impact due to resource extraction and energy production activities. Comparing their sustainability efforts could shed light on how they manage emissions, land use, and community impacts.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Coal Operations', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Oil & Gas – Services']","['47-48', '131-132']"
"['b7-coal-operations', 'b14-oil-and-gas-services']",Cross-Industry Comparison,Which of the following sustainability considerations is more prominently addressed in the IFRS S2 requirements for coal operations compared to oil and gas services?,Renewable energy usage,Biodiversity impact,Carbon pricing and reserve valuation,Community relations,Occupational health and safety,C. Carbon pricing and reserve valuation,"The IFRS S2 requirements for coal operations include detailed disclosures about the sensitivity of coal reserve levels to future price projection scenarios that account for a price on carbon emissions (EM-CO-420a.1, EM-CO-420a.2, EM-CO-420a.3). This level of detail regarding carbon pricing and its impact on reserve valuation is not present in the requirements for oil and gas services companies, likely because they typically do not own reserves. This reflects the different roles these industries play in the energy sector and their varying exposure to carbon pricing risks.","Both industries involve extensive environmental impact due to resource extraction and energy production activities. Comparing their sustainability efforts could shed light on how they manage emissions, land use, and community impacts.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Coal Operations', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Oil & Gas – Services']","['49-52', '124-132']"
"['b20-agricultural-products', 'b23-meat-poultry-and-dairy']",1,"When reporting on greenhouse gas emissions for the Agricultural Products and Meat, Poultry & Dairy industries, which of the following is a key difference in the required disclosures?",Only the Agricultural Products industry needs to report Scope 1 emissions,"The Meat, Poultry & Dairy industry must report emissions from enteric fermentation separately","The Agricultural Products industry must report fleet fuel consumption, while the Meat, Poultry & Dairy industry does not","Only the Meat, Poultry & Dairy industry needs to discuss emission reduction targets","The Agricultural Products industry must report Scope 2 emissions, while the Meat, Poultry & Dairy industry does not","C. The Agricultural Products industry must report fleet fuel consumption, while the Meat, Poultry & Dairy industry does not","The key difference in greenhouse gas emissions reporting between these industries is that the Agricultural Products industry is specifically required to disclose fleet fuel consumed and the percentage of renewable fuel under metric FB-AG-110a.3. This requirement is not present for the Meat, Poultry & Dairy industry. Both industries are required to report Scope 1 emissions and discuss emission reduction strategies and targets.","These industries are intertwined in the food supply chain and both face significant environmental challenges such as land use, water consumption, and emissions. Their sustainability practices are essential for understanding overall agricultural sustainability.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Agricultural Products', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Meat, Poultry & Dairy']","['190', '231']"
"['b20-agricultural-products', 'b23-meat-poultry-and-dairy']",1,"In the context of water management reporting for the Agricultural Products and Meat, Poultry & Dairy industries, which of the following is a unique requirement for the Meat, Poultry & Dairy industry?",Reporting on total water withdrawn and consumed,Disclosing water use in regions with High or Extremely High Baseline Water Stress,Discussing water management risks and mitigation strategies,Reporting on the number of incidents of non-compliance with water quality permits,Disclosing the percentage of agricultural products sourced from water-stressed regions,E. Disclosing the percentage of agricultural products sourced from water-stressed regions,"While both industries have similar requirements for reporting on water withdrawal, consumption, and management strategies, the Agricultural Products industry has a unique requirement (FB-AG-440a.2) to disclose the percentage of agricultural products sourced from regions with High or Extremely High Baseline Water Stress. This requirement is not present in the Meat, Poultry & Dairy industry disclosures, which instead focus on animal feed and contract producers in water-stressed regions.","These industries are intertwined in the food supply chain and both face significant environmental challenges such as land use, water consumption, and emissions. Their sustainability practices are essential for understanding overall agricultural sustainability.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Agricultural Products', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Meat, Poultry & Dairy']","['196', '235']"
"['b20-agricultural-products', 'b23-meat-poultry-and-dairy']",2,"When calculating the percentage of renewable energy consumed in the Agricultural Products and Meat, Poultry & Dairy industries, which of the following sources is explicitly limited in scope according to the IFRS standards?",Solar energy,Wind energy,Hydroelectric energy,Geothermal energy,Biomass energy,E. Biomass energy,"For both industries, the IFRS standards explicitly limit the scope of renewable energy from biomass sources. The standards state that energy from biomass sources is limited to materials certified to a third-party standard, materials considered eligible sources of supply according to the Green-e Framework for Renewable Energy Certification, and/or materials that are eligible for an applicable state renewable portfolio standard. This limitation is not applied to other renewable energy sources like solar, wind, hydroelectric, or geothermal.","These industries are intertwined in the food supply chain and both face significant environmental challenges such as land use, water consumption, and emissions. Their sustainability practices are essential for understanding overall agricultural sustainability.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Agricultural Products', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Meat, Poultry & Dairy']","['195', '234']"
"['b20-agricultural-products', 'b23-meat-poultry-and-dairy']",2,"In calculating water-related metrics for the Agricultural Products and Meat, Poultry & Dairy industries, which tool is specifically recommended by IFRS standards to identify areas of High or Extremely High Baseline Water Stress?",CDP Water Security Questionnaire,FAO AQUASTAT,"World Resources Institute's (WRI) Water Risk Atlas tool, Aqueduct",UN Global Compact CEO Water Mandate,GEMI Local Water Tool,"C. World Resources Institute's (WRI) Water Risk Atlas tool, Aqueduct","For both the Agricultural Products and Meat, Poultry & Dairy industries, the IFRS standards specifically recommend using the World Resources Institute's (WRI) Water Risk Atlas tool, Aqueduct, to identify locations with High (40–80%) or Extremely High (>80%) Baseline Water Stress. This tool is consistently mentioned in the water management metrics for both industries, ensuring a standardized approach to identifying water-stressed regions.","These industries are intertwined in the food supply chain and both face significant environmental challenges such as land use, water consumption, and emissions. Their sustainability practices are essential for understanding overall agricultural sustainability.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Agricultural Products', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Meat, Poultry & Dairy']","['197', '236']"
"['b20-agricultural-products', 'b23-meat-poultry-and-dairy']",3,"How do the IFRS sustainability reporting requirements for the Agricultural Products industry differ from those for the Meat, Poultry & Dairy industry in addressing land use and ecological impacts?",Only the Agricultural Products industry must report on land area under active production,"The Meat, Poultry & Dairy industry has specific requirements for reporting on animal litter and manure management","The Agricultural Products industry must report on pesticide use, while the Meat, Poultry & Dairy industry does not","Only the Meat, Poultry & Dairy industry must report on pasture and grazing land management",The Agricultural Products industry has stricter requirements for reporting on soil health,"B. The Meat, Poultry & Dairy industry has specific requirements for reporting on animal litter and manure management","The key difference in land use and ecological impact reporting between these industries is that the Meat, Poultry & Dairy industry has specific requirements for reporting on animal litter and manure management (FB-MP-160a.1). This includes disclosing the amount of animal litter and manure generated and the percentage managed according to a nutrient management plan. The Agricultural Products industry does not have a similar requirement, as it focuses more on crop production rather than animal waste management.","These industries are intertwined in the food supply chain and both face significant environmental challenges such as land use, water consumption, and emissions. Their sustainability practices are essential for understanding overall agricultural sustainability.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Agricultural Products', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Meat, Poultry & Dairy']","['189', '239']"
"['b20-agricultural-products', 'b23-meat-poultry-and-dairy']",3,"In addressing climate change risks and opportunities, how do the reporting requirements differ between the Agricultural Products industry and the Meat, Poultry & Dairy industry?",Only the Agricultural Products industry must discuss risks to crop production,"The Meat, Poultry & Dairy industry must report on livestock emission reduction strategies","The Agricultural Products industry focuses on soil management, while the Meat, Poultry & Dairy industry focuses on animal health","Only the Meat, Poultry & Dairy industry must discuss feed sourcing risks","The Agricultural Products industry must identify principal crops affected by climate change, while the Meat, Poultry & Dairy industry must discuss risks to both feed sourcing and livestock supply","E. The Agricultural Products industry must identify principal crops affected by climate change, while the Meat, Poultry & Dairy industry must discuss risks to both feed sourcing and livestock supply","The key difference in climate change risk reporting between these industries is in the scope of their required disclosures. The Agricultural Products industry must identify principal crops and describe risks and opportunities presented by climate change (FB-AG-440a.1). In contrast, the Meat, Poultry & Dairy industry must discuss strategy to manage opportunities and risks to both feed sourcing and livestock supply presented by climate change (FB-MP-440a.3). This broader scope for the Meat, Poultry & Dairy industry reflects the more complex supply chain and diverse risks faced by animal protein producers.","These industries are intertwined in the food supply chain and both face significant environmental challenges such as land use, water consumption, and emissions. Their sustainability practices are essential for understanding overall agricultural sustainability.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Agricultural Products', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Meat, Poultry & Dairy']","['201', '242']"
